O2Hb1,HHb1,tHb1,O2Hb2,HHb2,tHb2,O2Hb3,HHb3,tHb3,O2Hb1-2,HHb1-2,tHb1-2,O2Hb2-2,HHb2-2,tHb2-2,O2Hb3-2,HHb3-2,tHb3-2,TSI%,TSI%,TSI%,TSI Fit Factor,TSI%,TSI%,Event,Event Time
0.7321259,-2.4452162,-1.7130899,0.0244848,-2.2647252,-2.2402763,0.2699287,-1.8999548,-1.6301264,11.4778538,-1.9070816,9.5704851,5.33605,-2.5352955,2.8011832,4.1623807,-2.1795366,1.9831226,67.962059,67.962059,67.962059,99.6292038,67.962059,67.962059,,
0.6965053,-2.448509,-1.7520037,-0.0094635,-2.2703996,-2.2798991,0.2291031,-1.9024048,-1.6734015,11.4689083,-1.9123865,9.5562363,5.3120241,-2.5459409,2.7665133,4.1212139,-2.1812575,1.9402354,67.934761,67.934761,67.934761,99.6291428,67.934761,67.934761,,
0.6568173,-2.4519942,-1.7951771,-0.0488004,-2.2714832,-2.3203197,0.190357,-1.9052356,-1.7149786,11.4241467,-1.9130739,9.510788,5.2757487,-2.5477343,2.7284436,4.0864058,-2.1853564,1.9013281,67.9189377,67.9189377,67.9189377,99.6294479,67.9189377,67.9189377,,
0.6204737,-2.4591763,-1.8387026,-0.0898055,-2.2744288,-2.3642702,0.1491068,-1.9063404,-1.7573335,11.4035635,-1.9345036,9.4687738,5.2422457,-2.5512919,2.6913829,4.0461626,-2.1883111,1.8581311,67.8772278,67.8772278,67.8772278,99.6290894,67.8772278,67.8772278,,
0.5729492,-2.4566367,-1.8836876,-0.1374229,-2.2695975,-2.4070563,0.1156545,-1.9113762,-1.7958219,11.3334322,-1.9236553,9.4094896,5.1907377,-2.5444028,2.6467624,4.0145931,-2.1936035,1.8212683,67.9077911,67.9077911,67.9077911,99.6289978,67.9077911,67.9077911,,
0.5173923,-2.4489622,-1.9315698,-0.1708613,-2.272965,-2.443862,0.0751868,-1.9098766,-1.8347899,11.2618275,-1.9068991,9.3546429,5.1569171,-2.5451367,2.6122088,3.9777355,-2.1928496,1.7851651,67.9277191,67.9277191,67.9277191,99.6296082,67.9277191,67.9277191,,
0.4674705,-2.4517047,-1.9842345,-0.2092944,-2.2743452,-2.4836755,0.0376399,-1.9100348,-1.8724949,11.197835,-1.9122852,9.285264,5.1125894,-2.5464156,2.5666018,3.937917,-2.1945834,1.7436125,67.9234009,67.9234009,67.9234009,99.6304474,67.9234009,67.9234009,,
0.4429136,-2.4617805,-2.018867,-0.2481322,-2.277056,-2.5252235,-0.004456,-1.9102516,-1.9148077,11.1957636,-1.9276454,9.2678289,5.0768194,-2.5510628,2.526185,3.8961577,-2.1951325,1.7013048,67.8506927,67.8506927,67.8506927,99.629776,67.8506927,67.8506927,,
0.4176993,-2.4742212,-2.0565219,-0.289031,-2.2763162,-2.5653827,-0.0379603,-1.9131113,-1.9511715,11.2011709,-1.9650787,9.2358055,5.0306897,-2.5496066,2.4815111,3.8670292,-2.2004116,1.6668971,67.7994995,67.7994995,67.7994995,99.6294403,67.7994995,67.7994995,,
0.3654564,-2.4637165,-2.0982604,-0.3202507,-2.2775948,-2.5978808,-0.0724774,-1.9131601,-1.9857374,11.1175556,-1.9342034,9.1830654,5.005487,-2.5537143,2.4521997,3.8292251,-2.2015204,1.627984,67.8390121,67.8390121,67.8390121,99.629982,67.8390121,67.8390121,,
